ID,entity,sentiment,Tweet,sentiment_llama
352,Amazon,Neutral,BBC News - Amazon boss Jeff Bezos rejects claims company acted like a 'drug dealer' bbc.co.uk/news/av/busine…,positive
8312,Microsoft,Negative,@Microsoft Why do I pay for WORD when it functions so poorly on my @SamsungUS Chromebook? 🙄,negative
4371,CS-GO,Negative,"CSGO matchmaking is so full of closet hacking, it's a truly awful game.","negative
neutral"
4433,Google,Neutral,Now the President is slapping Americans in the face that he really did commit an unlawful act after his  acquittal! From Discover on Google vanityfair.com/news/2020/02/t…,negative
6273,FIFA,Negative,"Hi @EAHelp I’ve had Madeleine McCann in my cellar for the past 13 years and the little sneaky thing just escaped whilst I was loading up some fifa points, she took my card and I’m having to use my paypal account but it isn’t working, can you help me resolve it please?",negative
7925,MaddenNFL,Positive,Thank you @EAMaddenNFL!! New TE Austin Hooper in the ORANGE & BROWN!! #Browns | @AustinHooper18  pic.twitter.com/GRg4xzFKOn,positive
11332,TomClancysRainbowSix,Positive,"Rocket League, Sea of Thieves or Rainbow Six: Siege🤔? I love playing all three on stream but which is the best? #stream #twitch #RocketLeague #SeaOfThieves #RainbowSixSiege #follow",positive
1107,AssassinsCreed,Positive,my ass still knee-deep in Assassins Creed Odyssey with no way out anytime soon lmao,negative
2069,CallOfDuty,Negative,FIX IT JESUS ! Please FIX IT ! What In the world is going on here.  @PlayStation @AskPlayStation @Playstationsup @Treyarch @CallofDuty negative 345 silver wolf error code pic.twitter.com/ziRyhrf59Q,positive
3185,Dota2,Positive,The professional dota 2 scene is fucking exploding and I completely welcome it.Get the garbage out.,negative
1172,AssassinsCreed,Positive,Itching to assassinate #TCCGif #AssassinsCreedBlackFlag #AssassinsCreed #TheCapturedCollective pic.twitter.com/vv8MOGtCjw,negative
11783,Verizon,Negative,"@FredTJoseph hey fred, Comcast cut the cable and now Verizon stays calling me to shut that too pic.twitter.com/CPWSrmueDg",negative
4286,CS-GO,Neutral,CSGO WIngman (Im Silver dont bully) twitch.tv/lprezh,negative
8431,NBA2K,Negative,@NBA2K game sucks... down by 2 with 38 seconds left and my team intentionally fouls,negative
9135,Nvidia,Positive,Congrats to the NVIDIA NeMo team for the 1.0.0 release candidate!Really excited to see NeMo embracing Hydra as the way to take control over the configuration madness that is machine learning! :),positive
4822,GrandTheftAuto(GTA),Positive,yeah and it’s fun,negative
3068,Dota2,Negative,fuck my life 😆,neutral
10537,RedDeadRedemption(RDR),Positive,happy birthday red dead redemption that shit changed my life what a crazy experience,neutral
8056,Microsoft,Negative,What does that say about Microsoft hardware & software security - The Man gets hacked,negative
2131,CallOfDuty,Negative,The new @CallofDuty for ps5 is 🔥🔥🔥🔥Oh God 😭😍,neutral
